# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	110167	111177	+	AVX54649.1			Oligopeptide ABC transporter permease			JCVISYN3A_0166	1011	336	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	111191	112891	+					amiE		JCVISYN3A_0167	1701		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	111191	112891	+	AVX54650.1			Oligopeptide ABC transporter ATP-binding protein	amiE		JCVISYN3A_0167	1701	566	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	112893	114761	+					amiF		JCVISYN3A_0168	1869		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	112893	114761	+	AVX54651.1			Oligopeptide ABC transporter ATP-binding protein	amiF		JCVISYN3A_0168	1869	622	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	114778	117879	+					amiA		JCVISYN3A_0169	3102		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	114778	117879	+	AVX54652.1			Oligopeptide ABC transporter substrate-binding protein	amiA		JCVISYN3A_0169	3102	1033	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	118738	121848	-					potC		JCVISYN3A_0195	3111		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	118738	121848	-	AVX54653.1			Spermidine/putrescine ABC transporter permease	potC		JCVISYN3A_0195	3111	1036	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	121833	122825	-					potB		JCVISYN3A_0196	993		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	121833	122825	-	AVX54654.1			Spermidine/putrescine ABC transporter permease	potB		JCVISYN3A_0196	993	330	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	122825	123880	-					potA		JCVISYN3A_0197	1056		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	122825	123880	-	AVX54655.1			Spermidine/putrescine ABC transporter ATP-binding protein	potA		JCVISYN3A_0197	1056	351	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124254	124613	-					rplT		JCVISYN3A_0198	360		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124254	124613	-	AVX54656.1			50S ribosomal protein L20	rplT		JCVISYN3A_0198	360	119	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124632	124823	-					rpmI		JCVISYN3A_0199	192		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124632	124823	-	AVX54657.1			50S ribosomal protein L35	rpmI		JCVISYN3A_0199	192	63	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124849	125394	-					infC		JCVISYN3A_0200	546		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	124849	125394	-	AVX54658.1			Translation initiation factor IF-3	infC		JCVISYN3A_0200	546	181	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	125583	126185	-					def		JCVISYN3A_0201	603		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	125583	126185	-	AVX54659.1			Peptide deformylase	def		JCVISYN3A_0201	603	200	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	126259	126816	+					rsmD		JCVISYN3A_0202	558		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	126259	126816	+	AVX54660.1			16S rRNA (guanine(966)-N(2))-methyltransferase	rsmD		JCVISYN3A_0202	558	185	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	126819	127712	+					gmk		JCVISYN3A_0203	894		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	126819	127712	+	AVX54661.1			Guanylate kinase	gmk		JCVISYN3A_0203	894	297	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	127920	129275	+					eno		JCVISYN3A_0213	1356		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	127920	129275	+	AVX54662.1			Phosphopyruvate hydratase	eno		JCVISYN3A_0213	1356	451	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	129342	130163	+					pgpA		JCVISYN3A_0214	822		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	129342	130163	+	AVX54663.1			Phosphatidylglycerophosphatase	pgpA		JCVISYN3A_0214	822	273	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	130165	130596	+					yrrK; yqgF		JCVISYN3A_0215	432		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	130165	130596	+	AVX54664.1			Putative pre-16S rRNA nuclease	yrrK; yqgF		JCVISYN3A_0215	432	143	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	130602	131174	+					hptA		JCVISYN3A_0216	573		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	130602	131174	+	AVX54665.1			Hypoxanthine phosphoribosyltransferase	hptA		JCVISYN3A_0216	573	190	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	131274	132791	-					glpK		JCVISYN3A_0218	1518		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	131274	132791	-	AVX54666.1			Glycerol kinase	glpK		JCVISYN3A_0218	1518	505	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	133142	134122	+					pfkA		JCVISYN3A_0220	981		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	133142	134122	+	AVX54667.1			6-Phosphofructokinase	pfkA		JCVISYN3A_0220	981	326	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	134193	135629	+					pyk		JCVISYN3A_0221	1437		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	134193	135629	+	AVX54668.1			Pyruvate kinase	pyk		JCVISYN3A_0221	1437	478	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	135894	137813	+					thrRS		JCVISYN3A_0222	1920		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	135894	137813	+	AVX54669.1			Threonine--tRNA ligase	thrRS		JCVISYN3A_0222	1920	639	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	138324	139649	+					pdhC		JCVISYN3A_0227	1326		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	138324	139649	+	AVX54670.1			Branched-chain alpha-keto acid dehydrogenase subunit E2	pdhC		JCVISYN3A_0227	1326	441	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	139668	141557	+					lpdA		JCVISYN3A_0228	1890		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	139668	141557	+	AVX54671.1			Dihydrolipoyl dehydrogenase	lpdA		JCVISYN3A_0228	1890	629	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	141579	142547	+					pta		JCVISYN3A_0229	969		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	141579	142547	+	AVX54672.1			Phosphate acetyltransferase	pta		JCVISYN3A_0229	969	322	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	142560	143741	+					ackA		JCVISYN3A_0230	1182		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	142560	143741	+	AVX54673.1			Acetate kinase	ackA		JCVISYN3A_0230	1182	393	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	143903	145624	+					ptsI		JCVISYN3A_0233	1722		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	143903	145624	+	AVX54674.1			Phosphoenolpyruvate--protein phosphotransferase	ptsI		JCVISYN3A_0233	1722	573	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	145706	146170	+					crr		JCVISYN3A_0234	465		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	145706	146170	+	AVX54675.1			PTS glucose transporter subunit IIA	crr		JCVISYN3A_0234	465	154	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	146279	146461	+							JCVISYN3A_0235	183		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	146279	146461	+	AVX54676.1			Uncharacterized protein			JCVISYN3A_0235	183	60	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	146578	147204	-					rpsD		JCVISYN3A_0238	627		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	146578	147204	-	AVX54677.1			30S ribosomal protein S4	rpsD		JCVISYN3A_0238	627	208	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	147459	149246	+							JCVISYN3A_0239	1788		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	147459	149246	+	AVX54678.1			Uncharacterized protein			JCVISYN3A_0239	1788	595	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	149254	150441	+					thiI		JCVISYN3A_0240	1188		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	149254	150441	+	AVX54679.1			tRNA 4-thiouridine(8) synthase	thiI		JCVISYN3A_0240	1188	395	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	150614	151204	-					ysxC; yihA		JCVISYN3A_0247	591		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	150614	151204	-	AVX54680.1			Ribosome biogenesis GTP-binding protein	ysxC; yihA		JCVISYN3A_0247	591	196	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	151198	151758	-							JCVISYN3A_0248	561		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	151198	151758	-	AVX54681.1			Uncharacterized protein			JCVISYN3A_0248	561	186	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	151760	152338	-							JCVISYN3A_0249	579		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	151760	152338	-	AVX54682.1			Uncharacterized protein			JCVISYN3A_0249	579	192	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	152341	153030	-							JCVISYN3A_0250	690		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	152341	153030	-	AVX54683.1			Uncharacterized protein			JCVISYN3A_0250	690	229	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	153156	153629	-					greA		JCVISYN3A_0253	474		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	153156	153629	-	AVX54684.1			Transcription elongation factor	greA		JCVISYN3A_0253	474	157	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	153752	155506	-					uvrC		JCVISYN3A_0254	1755		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	153752	155506	-	AVX54685.1			Excinuclease ABC subunit C	uvrC		JCVISYN3A_0254	1755	584	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	155628	157379	-					rnjB		JCVISYN3A_0257	1752		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	155628	157379	-	AVX54686.1			RNase J family beta-CASP ribonuclease	rnjB		JCVISYN3A_0257	1752	583	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	157516	158313	-					nadK		JCVISYN3A_0259	798		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	157516	158313	-	AVX54687.1			NAD(+) kinase	nadK		JCVISYN3A_0259	798	265	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	158424	161042	-					valRS		JCVISYN3A_0260	2619		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	158424	161042	-	AVX54688.1			Valine--tRNA ligase	valRS		JCVISYN3A_0260	2619	872	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	161214	161891	-					rpe		JCVISYN3A_0262	678		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	161214	161891	-	AVX54689.1			Ribulose-phosphate 3-epimerase	rpe		JCVISYN3A_0262	678	225	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	161893	162795	-							JCVISYN3A_0263	903		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	161893	162795	-	AVX54690.1			Ribosome small subunit-dependent GTPase A			JCVISYN3A_0263	903	300	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	162805	163920	-							JCVISYN3A_0264	1116		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	162805	163920	-	AVX54691.1			Uncharacterized serine/threonine protein kinase			JCVISYN3A_0264	1116	371	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	164055	164471	+					tsaE; yjeE		JCVISYN3A_0270	417		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	164055	164471	+	AVX54692.1			tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase	tsaE; yjeE		JCVISYN3A_0270	417	138	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	164473	165036	+					tsaB; yeaZ		JCVISYN3A_0271	564		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	164473	165036	+	AVX54693.1			tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit	tsaB; yeaZ		JCVISYN3A_0271	564	187	
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	165578	165667	+					tRNA-Ser		JCVISYN3A_0280	90		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	165578	165667	+				tRNA-Ser	tRNA-Ser		JCVISYN3A_0280	90		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	165787	166467	+							JCVISYN3A_0281	681		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	165787	166467	+	AVX54694.1			Uncharacterized protein			JCVISYN3A_0281	681	226	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	166448	167872	+					proRS		JCVISYN3A_0282	1425		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	166448	167872	+	AVX54695.1			Proline--tRNA ligase	proRS		JCVISYN3A_0282	1425	474	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	167885	168502	+					rnhA		JCVISYN3A_0283	618		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	167885	168502	+	AVX54696.1			Double-stranded RNA binding RNase HI	rnhA		JCVISYN3A_0283	618	205	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	168527	170329	+					lepA; EF4		JCVISYN3A_0285	1803		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	168527	170329	+	AVX54697.1			Elongation factor 4	lepA; EF4		JCVISYN3A_0285	1803	600	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	170355	171161	+							JCVISYN3A_0286	807		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	170355	171161	+	AVX54698.1			Uncharacterized protein			JCVISYN3A_0286	807	268	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	171178	172902	-					aspRS		JCVISYN3A_0287	1725		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	171178	172902	-	AVX54699.1			Aspartate--tRNA ligase	aspRS		JCVISYN3A_0287	1725	574	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	172911	174155	-					hisRS		JCVISYN3A_0288	1245		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	172911	174155	-	AVX54700.1			Histidine--tRNA ligase	hisRS		JCVISYN3A_0288	1245	414	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	174340	174693	+					rbfA		JCVISYN3A_0289	354		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	174340	174693	+	AVX54701.1			Ribosome-binding factor A	rbfA		JCVISYN3A_0289	354	117	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	174743	175621	+					truB		JCVISYN3A_0290	879		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	174743	175621	+	AVX54702.1			tRNA pseudouridine(55) synthase	truB		JCVISYN3A_0290	879	292	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	175608	176162	+					ribF		JCVISYN3A_0291	555		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	175608	176162	+	AVX54703.1			FAD synthetase	ribF		JCVISYN3A_0291	555	184	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176397	176663	+					rpsO		JCVISYN3A_0294	267		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176397	176663	+	AVX54704.1			30S ribosomal protein S15	rpsO		JCVISYN3A_0294	267	88	
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176723	176796	+					tRNA-Gly		JCVISYN3A_0295	74		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176723	176796	+				tRNA-Gly	tRNA-Gly		JCVISYN3A_0295	74		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176894	177538	+							JCVISYN3A_0296	645		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	176894	177538	+	AVX54705.1			Uncharacterized protein			JCVISYN3A_0296	645	214	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	177557	179419	-					infB		JCVISYN3A_0297	1863		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	177557	179419	-	AVX54706.1			Translation initiation factor IF-2	infB		JCVISYN3A_0297	1863	620	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179441	179740	-							JCVISYN3A_0298	300		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179441	179740	-	AVX54707.1			Uncharacterized L7Ae family protein			JCVISYN3A_0298	300	99	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179727	180008	-							JCVISYN3A_0299	282		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179727	180008	-	AVX54708.1			Uncharacterized protein			JCVISYN3A_0299	282	93	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179989	181743	-					nusA		JCVISYN3A_0300	1755		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	179989	181743	-	AVX54709.1			Transcription termination/antitermination protein NusA	nusA		JCVISYN3A_0300	1755	584	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	181752	182246	-					rimP		JCVISYN3A_0301	495		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	181752	182246	-	AVX54710.1			Ribosome assembly cofactor	rimP		JCVISYN3A_0301	495	164	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	182359	183009	-					fre		JCVISYN3A_0302	651		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	182359	183009	-	AVX54711.1			Flavin reductase	fre		JCVISYN3A_0302	651	216	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	183022	187470	-					polC		JCVISYN3A_0303	4449		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	183022	187470	-	AVX54712.1			PolC-type DNA polymerase III	polC		JCVISYN3A_0303	4449	1482	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	187479	188507	-					cdsA		JCVISYN3A_0304	1029		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	187479	188507	-	AVX54713.1			Phosphatidate cytidylyltransferase	cdsA		JCVISYN3A_0304	1029	342	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	188706	189782	-							JCVISYN3A_0305	1077		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	188706	189782	-	AVX54714.1			Uncharacterized metallopeptidase			JCVISYN3A_0305	1077	358	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	190227	191237	+					trpRS		JCVISYN3A_0308	1011		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	190227	191237	+	AVX54715.1			Tryptophan--tRNA ligase	trpRS		JCVISYN3A_0308	1011	336	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	191373	192107	+					ecfS		JCVISYN3A_0314	735		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	191373	192107	+	AVX54716.1			Uncharacterized ECF transporter S component	ecfS		JCVISYN3A_0314	735	244	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	192229	192381	+							JCVISYN3A_0315	153		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	192229	192381	+	AVX54717.1			Uncharacterized protein			JCVISYN3A_0315	153	50	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	192440	194410	+					tkt		JCVISYN3A_0316	1971		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	192440	194410	+	AVX54718.1			Transketolase	tkt		JCVISYN3A_0316	1971	656	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	194426	194671	+							JCVISYN3A_0317	246		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	194426	194671	+	AVX54719.1			Uncharacterized protein			JCVISYN3A_0317	246	81	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	196094	197593	+							JCVISYN3A_0325	1500		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	196094	197593	+	AVX54720.1			Uncharacterized protein			JCVISYN3A_0325	1500	499	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	197611	198372	+							JCVISYN3A_0326	762		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	197611	198372	+	AVX54721.1			Uncharacterized protein			JCVISYN3A_0326	762	253	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	198382	199218	+					scpA		JCVISYN3A_0327	837		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	198382	199218	+	AVX54722.1			Chromosome segregation protein A	scpA		JCVISYN3A_0327	837	278	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	199202	199831	+					scpB		JCVISYN3A_0328	630		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	199202	199831	+	AVX54723.1			Chromosome segregation protein B	scpB		JCVISYN3A_0328	630	209	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	199899	200657	+					rluB		JCVISYN3A_0329	759		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	199899	200657	+	AVX54724.1			Uncharacterized pseudouridine synthase	rluB		JCVISYN3A_0329	759	252	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	200667	201284	+					dgk		JCVISYN3A_0330	618		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	200667	201284	+	AVX54725.1			Deoxyguanosine kinase	dgk		JCVISYN3A_0330	618	205	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	201395	202222	+							JCVISYN3A_0332	828		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	201395	202222	+	AVX54726.1			Uncharacterized protein			JCVISYN3A_0332	828	275	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	202897	203616	+							JCVISYN3A_0338	720		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	202897	203616	+	AVX54727.1			Uncharacterized lipoprotein			JCVISYN3A_0338	720	239	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	204074	204634	-					ppa		JCVISYN3A_0344	561		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	204074	204634	-	AVX54728.1			Inorganic diphosphatase	ppa		JCVISYN3A_0344	561	186	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	204773	205663	+					ecfS		JCVISYN3A_0345	891		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	204773	205663	+	AVX54729.1			Uncharacterized ECF transporter S component	ecfS		JCVISYN3A_0345	891	296	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	205729	206424	+							JCVISYN3A_0346	696		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	205729	206424	+	AVX54730.1			Uncharacterized protein			JCVISYN3A_0346	696	231	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	206433	207095	+					cmk		JCVISYN3A_0347	663		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	206433	207095	+	AVX54731.1			Cytidylate kinase	cmk		JCVISYN3A_0347	663	220	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	207102	208409	+					engA		JCVISYN3A_0348	1308		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	207102	208409	+	AVX54732.1			Ribosome biogenesis GTPase	engA		JCVISYN3A_0348	1308	435	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	208464	208736	+					hupA		JCVISYN3A_0350	273		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	208464	208736	+	AVX54733.1			DNA-binding protein	hupA		JCVISYN3A_0350	273	90	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	208791	209339	+							JCVISYN3A_0352	549		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	208791	209339	+	AVX54734.1			Uncharacterized protein			JCVISYN3A_0352	549	182	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	209403	209780	+							JCVISYN3A_0353	378		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	209403	209780	+	AVX54735.1			Uncharacterized protein			JCVISYN3A_0353	378	125	
gene	RNase_P_RNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	210198	210537	+					rnpB		JCVISYN3A_0356	340		
